
Total loss decreased from inf to 3.1500281090114157 in epoch 1/50 in training, saving weights
Total loss decreased from 0.724390271289852 to 0.6483280049608368 in epoch 9/50 in training, saving weights
Total loss decreased from 1.7892649323342151 to 1.6284528257035655 in epoch 9/50 in validation, saving weights
Total loss decreased from 0.6483280049608368 to 0.6125845508348166 in epoch 10/50 in training, saving weights
Total loss decreased from inf to 3.209893240908199 in epoch 1/50 in training, saving weights
Total loss decreased from 3.209893240908199 to 2.1788182805816483 in epoch 2/50 in training, saving weights
Total loss decreased from 2.1788182805816483 to 1.5460027160240817 in epoch 3/50 in training, saving weights
Total loss decreased from inf to 1.8696368607162965 in epoch 3/50 in validation, saving weights
Total loss decreased from 1.5460027160240817 to 1.259565832624118 in epoch 4/50 in training, saving weights
Total loss decreased from 1.259565832624118 to 1.067454614899338 in epoch 5/50 in training, saving weights
Total loss decreased from 1.067454614899338 to 0.8823324629774267 in epoch 6/50 in training, saving weights
Total loss decreased from 1.8696368607162965 to 1.8153707517467432 in epoch 6/50 in validation, saving weights
Total loss decreased from 0.8823324629774267 to 0.7916954766914914 in epoch 7/50 in training, saving weights
Total loss decreased from 0.7916954766914914 to 0.7341366615611342 in epoch 8/50 in training, saving weights
Total loss decreased from 0.7341366615611342 to 0.6971713916323183 in epoch 9/50 in training, saving weights
Total loss decreased from 1.8153707517467432 to 1.6949983098031818 in epoch 9/50 in validation, saving weights
Total loss decreased from 0.6971713916323183 to 0.6530782719056216 in epoch 10/50 in training, saving weights
Total loss decreased from 0.6530782719056216 to 0.558121712482869 in epoch 11/50 in training, saving weights
Total loss decreased from 0.558121712482869 to 0.5397492184521394 in epoch 12/50 in training, saving weights
Total loss decreased from 0.5397492184521394 to 0.500610868075839 in epoch 13/50 in training, saving weights
Total loss decreased from 0.500610868075839 to 0.49318170504646974 in epoch 14/50 in training, saving weights
Total loss decreased from 0.49318170504646974 to 0.44400938054699457 in epoch 15/50 in training, saving weights
Total loss decreased from 0.44400938054699457 to 0.42990542705805124 in epoch 17/50 in training, saving weights
Total loss decreased from 0.42990542705805124 to 0.40188873213400533 in epoch 18/50 in training, saving weights
Total loss decreased from 0.40188873213400533 to 0.36582762868504903 in epoch 19/50 in training, saving weights
Total loss decreased from 0.36582762868504903 to 0.35887505774388645 in epoch 20/50 in training, saving weights
Total loss decreased from 1.6949983098031818 to 1.670516098581352 in epoch 21/50 in validation, saving weights
Total loss decreased from 0.35887505774388645 to 0.32117164697996586 in epoch 22/50 in training, saving weights
Total loss decreased from 0.32117164697996586 to 0.3185833938204208 in epoch 23/50 in training, saving weights
Total loss decreased from 1.670516098581352 to 1.6317753335815166 in epoch 24/50 in validation, saving weights
Total loss decreased from 0.3185833938204208 to 0.3028850721105503 in epoch 25/50 in training, saving weights
Total loss decreased from 0.3028850721105503 to 0.29057548920413145 in epoch 26/50 in training, saving weights
Total loss decreased from 0.29057548920413145 to 0.2722124513305359 in epoch 27/50 in training, saving weights
Total loss decreased from 0.2722124513305359 to 0.25955985727658143 in epoch 29/50 in training, saving weights
Total loss decreased from 1.6317753335815166 to 1.630100194860773 in epoch 30/50 in validation, saving weights
Total loss decreased from 0.25955985727658143 to 0.25402265845499006 in epoch 31/50 in training, saving weights
Total loss decreased from 0.25402265845499006 to 0.24122535307836918 in epoch 32/50 in training, saving weights
Total loss decreased from 0.24122535307836918 to 0.22078213290646692 in epoch 35/50 in training, saving weights
Total loss decreased from 0.22078213290646692 to 0.21897983852465985 in epoch 36/50 in training, saving weights
Total loss decreased from 0.21897983852465985 to 0.21825764725925917 in epoch 38/50 in training, saving weights
Total loss decreased from 0.21825764725925917 to 0.21441366514925686 in epoch 39/50 in training, saving weights
Total loss decreased from 0.21441366514925686 to 0.19161854256138522 in epoch 41/50 in training, saving weights
Total loss decreased from 0.19161854256138522 to 0.1887014053174851 in epoch 44/50 in training, saving weights
Total loss decreased from 0.1887014053174851 to 0.18519152710088627 in epoch 48/50 in training, saving weights
Total loss decreased from 1.630100194860773 to 1.534488199576682 in epoch 48/50 in validation, saving weights
Total loss decreased from 0.18519152710088627 to 0.18281848121393293 in epoch 49/50 in training, saving weights
Total loss decreased from 0.18281848121393293 to 0.18053094328470132 in epoch 50/50 in training, saving weights
Total loss decreased from inf to 1.8799768423693966 in epoch 1/100 in training, saving weights
Total loss decreased from 1.8799768423693966 to 1.224756345192338 in epoch 2/100 in training, saving weights
Total loss decreased from 1.224756345192338 to 1.0578282162655812 in epoch 3/100 in training, saving weights
Total loss decreased from inf to 6.451145114695153 in epoch 3/100 in validation, saving weights
Total loss decreased from 1.0578282162655812 to 0.5534945788870459 in epoch 4/100 in training, saving weights
Total loss decreased from 0.5534945788870459 to 0.4398332696293933 in epoch 5/100 in training, saving weights
Total loss decreased from 0.4398332696293933 to 0.2830842107653367 in epoch 6/100 in training, saving weights
Total loss decreased from 0.2830842107653367 to 0.2534384339646085 in epoch 9/100 in training, saving weights
Total loss decreased from 0.2534384339646085 to 0.19143429775623583 in epoch 10/100 in training, saving weights
Total loss decreased from 0.19143429775623583 to 0.191257484328554 in epoch 14/100 in training, saving weights
Total loss decreased from 0.191257484328554 to 0.18227833274644092 in epoch 15/100 in training, saving weights
Total loss decreased from 0.18227833274644092 to 0.15885406610041597 in epoch 16/100 in training, saving weights
Total loss decreased from 0.15885406610041597 to 0.11521952657223805 in epoch 20/100 in training, saving weights
Total loss decreased from 0.11521952657223805 to 0.11463467566996816 in epoch 21/100 in training, saving weights
Total loss decreased from 0.11463467566996816 to 0.10589237723362815 in epoch 25/100 in training, saving weights
Total loss decreased from 0.10589237723362815 to 0.09541988359013967 in epoch 29/100 in training, saving weights
Total loss decreased from 0.09541988359013967 to 0.09038330556975682 in epoch 30/100 in training, saving weights
Total loss decreased from 0.09038330556975682 to 0.08568873201349898 in epoch 32/100 in training, saving weights
Total loss decreased from 0.08568873201349898 to 0.08141118249415245 in epoch 35/100 in training, saving weights
Total loss decreased from 0.08141118249415245 to 0.07003073257274291 in epoch 39/100 in training, saving weights
Total loss decreased from 0.07003073257274291 to 0.06764431392322831 in epoch 42/100 in training, saving weights
Total loss decreased from 0.06764431392322831 to 0.06707674110283998 in epoch 46/100 in training, saving weights
Total loss decreased from 0.06707674110283998 to 0.06605897642390865 in epoch 47/100 in training, saving weights
Total loss decreased from 0.06605897642390865 to 0.059132826049746276 in epoch 49/100 in training, saving weights
Total loss decreased from 0.059132826049746276 to 0.05281166821771119 in epoch 53/100 in training, saving weights
Total loss decreased from 0.05281166821771119 to 0.04847761774093401 in epoch 60/100 in training, saving weights
Total loss decreased from inf to 2.3800515924767263 in epoch 1/100 in training, saving weights
Total loss decreased from inf to 2.3383680707412564 in epoch 1/300 in training, saving weights
Total loss decreased from 2.3383680707412564 to 1.9404950219089399 in epoch 2/300 in training, saving weights
Total loss decreased from inf to 2.1081238135059435 in epoch 3/300 in validation, saving weights
Total loss decreased from 1.9404950219089399 to 1.9400309067621024 in epoch 4/300 in training, saving weights
Total loss decreased from 1.9400309067621024 to 1.917388306038376 in epoch 5/300 in training, saving weights
Total loss decreased from 1.917388306038376 to 1.7847164216211546 in epoch 6/300 in training, saving weights
Total loss decreased from 2.1081238135059435 to 1.8942230116212515 in epoch 6/300 in validation, saving weights
Total loss decreased from 1.7847164216211546 to 1.7069986083957474 in epoch 7/300 in training, saving weights
Total loss decreased from 1.7069986083957474 to 1.6753124078027457 in epoch 8/300 in training, saving weights
Total loss decreased from 1.6753124078027457 to 1.598396496841695 in epoch 9/300 in training, saving weights
Total loss decreased from 1.8942230116212515 to 1.626513218893329 in epoch 9/300 in validation, saving weights
Total loss decreased from 1.598396496841695 to 1.5575553786712224 in epoch 10/300 in training, saving weights
Total loss decreased from inf to 3.583461780247848 in epoch 1/3000 in training, saving weights
Total loss decreased from 3.583461780247848 to 2.157794536961758 in epoch 2/3000 in training, saving weights
Total loss decreased from 2.157794536961758 to 1.6238777922624115 in epoch 3/3000 in training, saving weights
Total loss decreased from inf to 2.53915864360591 in epoch 3/3000 in validation, saving weights
Total loss decreased from 1.6238777922624115 to 1.3519294007215839 in epoch 4/3000 in training, saving weights
Total loss decreased from 1.3519294007215839 to 1.2257822735389081 in epoch 5/3000 in training, saving weights
Total loss decreased from 1.2257822735389081 to 1.000172964045569 in epoch 6/3000 in training, saving weights
Total loss decreased from 2.53915864360591 to 2.4416847326986946 in epoch 6/3000 in validation, saving weights
Total loss decreased from 1.000172964045569 to 0.7849336788848476 in epoch 7/3000 in training, saving weights
Total loss decreased from 0.7849336788848476 to 0.7090701221315021 in epoch 8/3000 in training, saving weights
Total loss decreased from 0.7090701221315021 to 0.6898931902861476 in epoch 9/3000 in training, saving weights
Total loss decreased from 0.6898931902861476 to 0.6239199375345458 in epoch 10/3000 in training, saving weights
Total loss decreased from 0.6239199375345458 to 0.5969344615782222 in epoch 11/3000 in training, saving weights
Total loss decreased from 0.5969344615782222 to 0.5087496816656637 in epoch 12/3000 in training, saving weights
Total loss decreased from 2.4416847326986946 to 2.4234778520774034 in epoch 12/3000 in validation, saving weights
Total loss decreased from 0.5087496816656637 to 0.4795106286338186 in epoch 13/3000 in training, saving weights
Total loss decreased from 0.4795106286338186 to 0.41013030785663407 in epoch 14/3000 in training, saving weights
Total loss decreased from 0.41013030785663407 to 0.3969877076568249 in epoch 15/3000 in training, saving weights
Total loss decreased from 0.3969877076568249 to 0.3954735460493561 in epoch 16/3000 in training, saving weights
Total loss decreased from 0.3954735460493561 to 0.3933212006054665 in epoch 18/3000 in training, saving weights
Total loss decreased from 0.3933212006054665 to 0.381031315077392 in epoch 19/3000 in training, saving weights
Total loss decreased from 0.381031315077392 to 0.3583495009375707 in epoch 20/3000 in training, saving weights
Total loss decreased from 0.3583495009375707 to 0.34606156959887485 in epoch 21/3000 in training, saving weights
Total loss decreased from 0.34606156959887485 to 0.3083895704992401 in epoch 22/3000 in training, saving weights
Total loss decreased from 0.3083895704992401 to 0.29787965997193144 in epoch 23/3000 in training, saving weights
Total loss decreased from 0.29787965997193144 to 0.28992037448408436 in epoch 24/3000 in training, saving weights
Total loss decreased from 0.28992037448408436 to 0.26867399802646913 in epoch 27/3000 in training, saving weights
Total loss decreased from 0.26867399802646913 to 0.24373555156551763 in epoch 28/3000 in training, saving weights
Total loss decreased from 0.24373555156551763 to 0.2369250148733212 in epoch 29/3000 in training, saving weights
Total loss decreased from 0.2369250148733212 to 0.21408325866152614 in epoch 32/3000 in training, saving weights
Total loss decreased from 0.21408325866152614 to 0.18590888451210538 in epoch 37/3000 in training, saving weights
Total loss decreased from 0.18590888451210538 to 0.16377792594418125 in epoch 39/3000 in training, saving weights
Total loss decreased from 0.16377792594418125 to 0.15443203074132225 in epoch 40/3000 in training, saving weights
Total loss decreased from 0.15443203074132225 to 0.15122491370466545 in epoch 48/3000 in training, saving weights
Total loss decreased from 0.15122491370466545 to 0.14623034046450983 in epoch 50/3000 in training, saving weights
Total loss decreased from 0.14623034046450983 to 0.13120583256416724 in epoch 54/3000 in training, saving weights
Total loss decreased from 0.13120583256416724 to 0.12314757902184978 in epoch 58/3000 in training, saving weights
Total loss decreased from 0.12314757902184978 to 0.12029304157703485 in epoch 74/3000 in training, saving weights
Total loss decreased from 0.12029304157703485 to 0.11582162409516779 in epoch 75/3000 in training, saving weights
Total loss decreased from 0.11582162409516779 to 0.11373036958423632 in epoch 78/3000 in training, saving weights
Total loss decreased from 0.11373036958423632 to 0.10168802135393641 in epoch 79/3000 in training, saving weights
Total loss decreased from 0.10168802135393641 to 0.09652999067750183 in epoch 82/3000 in training, saving weights
Total loss decreased from 0.09652999067750183 to 0.09508784471562393 in epoch 84/3000 in training, saving weights
Total loss decreased from 0.09508784471562393 to 0.08490881120636218 in epoch 89/3000 in training, saving weights
Total loss decreased from 0.08490881120636218 to 0.08367043543037159 in epoch 92/3000 in training, saving weights
Total loss decreased from 0.08367043543037159 to 0.07932666421037254 in epoch 105/3000 in training, saving weights
Total loss decreased from 0.07932666421037254 to 0.07484034244147242 in epoch 117/3000 in training, saving weights
Total loss decreased from 0.07484034244147242 to 0.0708960561136191 in epoch 126/3000 in training, saving weights
Total loss decreased from 0.0708960561136191 to 0.06790209731042611 in epoch 131/3000 in training, saving weights
Total loss decreased from 0.06790209731042611 to 0.06089635126009013 in epoch 133/3000 in training, saving weights
Total loss decreased from 0.06089635126009013 to 0.05793859758711349 in epoch 148/3000 in training, saving weights
Total loss decreased from 0.05793859758711349 to 0.05638947403946887 in epoch 153/3000 in training, saving weights
Total loss decreased from 0.05638947403946887 to 0.05378966822471612 in epoch 162/3000 in training, saving weights
Total loss decreased from 0.05378966822471612 to 0.05219931942786228 in epoch 168/3000 in training, saving weights
Total loss decreased from 0.05219931942786228 to 0.050898172084087395 in epoch 181/3000 in training, saving weights
Total loss decreased from 0.050898172084087395 to 0.050868460485095135 in epoch 191/3000 in training, saving weights
Total loss decreased from 0.050868460485095135 to 0.04989818595115961 in epoch 199/3000 in training, saving weights
Total loss decreased from 0.04989818595115961 to 0.04952776279649997 in epoch 203/3000 in training, saving weights
Total loss decreased from 0.04952776279649997 to 0.046524579976234715 in epoch 210/3000 in training, saving weights
Total loss decreased from 0.046524579976234715 to 0.04294476315568404 in epoch 213/3000 in training, saving weights
Total loss decreased from 0.04294476315568404 to 0.040802822250298125 in epoch 223/3000 in training, saving weights
Total loss decreased from 0.040802822250298125 to 0.03478663319956571 in epoch 239/3000 in training, saving weights
Total loss decreased from 0.03478663319956571 to 0.03433934025341297 in epoch 262/3000 in training, saving weights
Total loss decreased from 0.03433934025341297 to 0.033393401418781596 in epoch 264/3000 in training, saving weights
Total loss decreased from 0.033393401418781596 to 0.03063754010040511 in epoch 282/3000 in training, saving weights
Total loss decreased from 0.03063754010040511 to 0.027069279855494843 in epoch 317/3000 in training, saving weights
Total loss decreased from 0.027069279855494843 to 0.02627511183043179 in epoch 323/3000 in training, saving weights
Total loss decreased from 0.02627511183043179 to 0.025298521377286665 in epoch 361/3000 in training, saving weights
Total loss decreased from 0.025298521377286665 to 0.023032785007906186 in epoch 363/3000 in training, saving weights
Total loss decreased from inf to 3.0152256554769608 in epoch 1/3000 in training, saving weights
Total loss decreased from inf to 3.0057239293273326 in epoch 1/3000 in training, saving weights
Total loss decreased from 3.0057239293273326 to 1.672485440546351 in epoch 2/3000 in training, saving weights
Total loss decreased from 1.672485440546351 to 1.3577289001710335 in epoch 3/3000 in training, saving weights
Total loss decreased from inf to 1.8729613867188157 in epoch 3/3000 in validation, saving weights
Total loss decreased from 1.3577289001710335 to 1.1751866677479088 in epoch 4/3000 in training, saving weights
Total loss decreased from 1.1751866677479088 to 0.9452861719022054 in epoch 5/3000 in training, saving weights
Total loss decreased from 0.9452861719022054 to 0.7159110517880978 in epoch 6/3000 in training, saving weights
Total loss decreased from 1.8729613867188157 to 1.6637947447610317 in epoch 6/3000 in validation, saving weights
Total loss decreased from 0.7159110517880978 to 0.6786116858788734 in epoch 7/3000 in training, saving weights
Total loss decreased from 0.6786116858788734 to 0.5180338510495746 in epoch 8/3000 in training, saving weights
Total loss decreased from 0.5180338510495746 to 0.44350061722820183 in epoch 9/3000 in training, saving weights
Total loss decreased from 0.44350061722820183 to 0.42763023612940093 in epoch 11/3000 in training, saving weights
Total loss decreased from 0.42763023612940093 to 0.395070346033938 in epoch 12/3000 in training, saving weights
Total loss decreased from 0.395070346033938 to 0.3503321010612143 in epoch 13/3000 in training, saving weights
Total loss decreased from 0.3503321010612143 to 0.337260166132828 in epoch 14/3000 in training, saving weights
Total loss decreased from 0.337260166132828 to 0.3072929791704765 in epoch 16/3000 in training, saving weights
Total loss decreased from 0.3072929791704765 to 0.2981952887768389 in epoch 18/3000 in training, saving weights
Total loss decreased from 1.6637947447610317 to 1.5198695065768888 in epoch 18/3000 in validation, saving weights
Total loss decreased from 0.2981952887768389 to 0.2837901084874674 in epoch 19/3000 in training, saving weights
Total loss decreased from 0.2837901084874674 to 0.2642047112881492 in epoch 20/3000 in training, saving weights
Total loss decreased from 0.2642047112881492 to 0.21752390526939241 in epoch 24/3000 in training, saving weights
Total loss decreased from 0.21752390526939241 to 0.2026825552153376 in epoch 27/3000 in training, saving weights
Total loss decreased from 1.5198695065768888 to 1.5066463800362193 in epoch 30/3000 in validation, saving weights
Total loss decreased from 0.2026825552153376 to 0.19778520970128793 in epoch 33/3000 in training, saving weights
Total loss decreased from 0.19778520970128793 to 0.1664199309815692 in epoch 34/3000 in training, saving weights
Total loss decreased from 0.1664199309815692 to 0.15951988306710133 in epoch 35/3000 in training, saving weights
Total loss decreased from 1.5066463800362193 to 1.4744392874818555 in epoch 39/3000 in validation, saving weights
Total loss decreased from 0.15951988306710133 to 0.14983820429009945 in epoch 42/3000 in training, saving weights
Total loss decreased from 0.14983820429009945 to 0.14562504274086843 in epoch 43/3000 in training, saving weights
Total loss decreased from 0.14562504274086843 to 0.1400826419742801 in epoch 45/3000 in training, saving weights
Total loss decreased from 0.1400826419742801 to 0.12818387902488046 in epoch 47/3000 in training, saving weights
Total loss decreased from 0.12818387902488046 to 0.12721343181147268 in epoch 56/3000 in training, saving weights
Total loss decreased from 0.12721343181147268 to 0.12262501735376215 in epoch 57/3000 in training, saving weights
Total loss decreased from 0.12262501735376215 to 0.11462348250174847 in epoch 58/3000 in training, saving weights
Total loss decreased from 0.11462348250174847 to 0.11422012036807366 in epoch 63/3000 in training, saving weights
Total loss decreased from 0.11422012036807366 to 0.10696213998515566 in epoch 70/3000 in training, saving weights
Total loss decreased from 0.10696213998515566 to 0.10182568476739443 in epoch 71/3000 in training, saving weights
Total loss decreased from 0.10182568476739443 to 0.09655404051397692 in epoch 76/3000 in training, saving weights
Total loss decreased from 0.09655404051397692 to 0.09161048429556219 in epoch 79/3000 in training, saving weights
Total loss decreased from 0.09161048429556219 to 0.08092569738380431 in epoch 80/3000 in training, saving weights
Total loss decreased from 0.08092569738380431 to 0.07975150059474943 in epoch 93/3000 in training, saving weights
Total loss decreased from inf to 2.100923292974085 in epoch 1/3000 in training, saving weights
Total loss decreased from 2.100923292974085 to 1.4035877023162642 in epoch 2/3000 in training, saving weights
Total loss decreased from 1.4035877023162642 to 1.1664994457602047 in epoch 3/3000 in training, saving weights
Total loss decreased from inf to 1.3338600239010951 in epoch 3/3000 in validation, saving weights
Total loss decreased from 1.1664994457602047 to 1.0430769518374503 in epoch 4/3000 in training, saving weights
Total loss decreased from 1.0430769518374503 to 0.771396110999535 in epoch 5/3000 in training, saving weights
Total loss decreased from 0.771396110999535 to 0.7010446973268372 in epoch 6/3000 in training, saving weights
Total loss decreased from 1.3338600239010951 to 1.2685077981560053 in epoch 6/3000 in validation, saving weights
Total loss decreased from 0.7010446973268372 to 0.584180458468136 in epoch 7/3000 in training, saving weights
Total loss decreased from 0.584180458468136 to 0.542955014444104 in epoch 8/3000 in training, saving weights
Total loss decreased from 0.542955014444104 to 0.4707358973355147 in epoch 9/3000 in training, saving weights
Total loss decreased from 0.4707358973355147 to 0.4213704335476729 in epoch 10/3000 in training, saving weights
Total loss decreased from 0.4213704335476729 to 0.3742275216608788 in epoch 11/3000 in training, saving weights
Total loss decreased from 0.3742275216608788 to 0.35992704044299156 in epoch 12/3000 in training, saving weights
Total loss decreased from 0.35992704044299156 to 0.3270671572328825 in epoch 15/3000 in training, saving weights
Total loss decreased from 0.3270671572328825 to 0.30781889819541786 in epoch 16/3000 in training, saving weights
Total loss decreased from 0.30781889819541786 to 0.27624061024064944 in epoch 18/3000 in training, saving weights
Total loss decreased from 0.27624061024064944 to 0.25792473541870903 in epoch 19/3000 in training, saving weights
Total loss decreased from 0.25792473541870903 to 0.24831275193284694 in epoch 24/3000 in training, saving weights
Total loss decreased from 0.24831275193284694 to 0.24392006767742977 in epoch 25/3000 in training, saving weights
Total loss decreased from 0.24392006767742977 to 0.23969307196405853 in epoch 27/3000 in training, saving weights
Total loss decreased from 0.23969307196405853 to 0.22276444909360404 in epoch 28/3000 in training, saving weights
Total loss decreased from 0.22276444909360404 to 0.19683875843930895 in epoch 30/3000 in training, saving weights
Total loss decreased from 0.19683875843930895 to 0.19286687889540988 in epoch 34/3000 in training, saving weights
Total loss decreased from 0.19286687889540988 to 0.18847587606636582 in epoch 38/3000 in training, saving weights
Total loss decreased from 0.18847587606636582 to 0.17815566505156788 in epoch 39/3000 in training, saving weights
Total loss decreased from 0.17815566505156788 to 0.17376242764646474 in epoch 40/3000 in training, saving weights
Total loss decreased from 0.17376242764646474 to 0.1733089761681669 in epoch 41/3000 in training, saving weights
Total loss decreased from 0.1733089761681669 to 0.15248365252475762 in epoch 43/3000 in training, saving weights
Total loss decreased from 0.15248365252475762 to 0.13137454657531242 in epoch 44/3000 in training, saving weights
Total loss decreased from 0.13137454657531242 to 0.12560364420261094 in epoch 48/3000 in training, saving weights
Total loss decreased from 0.12560364420261094 to 0.12096623063482581 in epoch 51/3000 in training, saving weights
Total loss decreased from 0.12096623063482581 to 0.11289703694769468 in epoch 54/3000 in training, saving weights
Total loss decreased from 0.11289703694769468 to 0.09298426727992463 in epoch 55/3000 in training, saving weights
Total loss decreased from 0.09298426727992463 to 0.09133141537923153 in epoch 71/3000 in training, saving weights
Total loss decreased from 0.09133141537923153 to 0.08211455911031623 in epoch 74/3000 in training, saving weights
Total loss decreased from 0.08211455911031623 to 0.08141960407825544 in epoch 76/3000 in training, saving weights
Total loss decreased from 0.08141960407825544 to 0.07932314882555523 in epoch 81/3000 in training, saving weights
Total loss decreased from 0.07932314882555523 to 0.07926037186386947 in epoch 85/3000 in training, saving weights
Total loss decreased from 0.07926037186386947 to 0.0764981963102172 in epoch 87/3000 in training, saving weights
Total loss decreased from 0.0764981963102172 to 0.0706843816448744 in epoch 88/3000 in training, saving weights
Total loss decreased from 0.0706843816448744 to 0.0666705467618906 in epoch 90/3000 in training, saving weights
Total loss decreased from inf to 2.0985611004946225 in epoch 1/3000 in training, saving weights
Total loss decreased from 2.0985611004946225 to 1.4099406932073535 in epoch 2/3000 in training, saving weights
Total loss decreased from 1.4099406932073535 to 1.1678379330305262 in epoch 3/3000 in training, saving weights
Total loss decreased from inf to 1.2175992871757964 in epoch 3/3000 in validation, saving weights
Total loss decreased from 1.1678379330305262 to 0.9630041316286719 in epoch 4/3000 in training, saving weights
Total loss decreased from 0.9630041316286719 to 0.7881514011474684 in epoch 5/3000 in training, saving weights
Total loss decreased from 0.7881514011474684 to 0.6859879848135504 in epoch 6/3000 in training, saving weights
Total loss decreased from 0.6859879848135504 to 0.5858099773833789 in epoch 7/3000 in training, saving weights
Total loss decreased from 0.5858099773833789 to 0.5170832231748496 in epoch 8/3000 in training, saving weights
Total loss decreased from 0.5170832231748496 to 0.4637637775937854 in epoch 10/3000 in training, saving weights
Total loss decreased from 0.4637637775937854 to 0.42023940411828736 in epoch 11/3000 in training, saving weights
Total loss decreased from 0.42023940411828736 to 0.3828795017696146 in epoch 12/3000 in training, saving weights
Total loss decreased from 0.3828795017696146 to 0.3572607278904302 in epoch 13/3000 in training, saving weights
Total loss decreased from 0.3572607278904302 to 0.3426965596218614 in epoch 14/3000 in training, saving weights
Total loss decreased from 0.3426965596218614 to 0.2837578984063337 in epoch 16/3000 in training, saving weights
Total loss decreased from 0.2837578984063337 to 0.2804353410878484 in epoch 19/3000 in training, saving weights
Total loss decreased from 0.2804353410878484 to 0.27543713592747976 in epoch 20/3000 in training, saving weights
Total loss decreased from 0.27543713592747976 to 0.27209477760739714 in epoch 21/3000 in training, saving weights
Total loss decreased from inf to 1.4896640749476109 in epoch 1/3000 in training, saving weights
Total loss decreased from 1.4896640749476109 to 0.4640381407548845 in epoch 2/3000 in training, saving weights
Total loss decreased from 0.4640381407548845 to 0.3751895459257987 in epoch 3/3000 in training, saving weights
Total loss decreased from inf to 0.3843736026986934 in epoch 3/3000 in validation, saving weights
Total loss decreased from 0.3751895459257987 to 0.3422404120635352 in epoch 4/3000 in training, saving weights
Total loss decreased from 0.3422404120635352 to 0.3332795193653151 in epoch 5/3000 in training, saving weights
Total loss decreased from 0.3332795193653151 to 0.3098042647527359 in epoch 6/3000 in training, saving weights
